accommodates;bathrooms;bedrooms;calculated_host_listings_count;guests_included;host_listings_count;latitude;longitude;minimum_nights;number_of_reviews;d_centre;instant_bookable_t;room_type_Entire home/apt;room_type_Private room;room_type_Shared room;price_category
2;1;1;1;1;1;52,38047989;4,819844539;1;3;5,400528174;0;0;1;0;Low
2;1;2;1;2;1;52,37095567;4,92248596;7;1;1,812014703;0;1;0;0;Low
2;1;1;1;1;1;52,37232722;4,86465231;3;30;2,479532983;0;0;1;0;Low
4;3;3;5;4;5;52,35275966;4,908623096;7;44;3,002463515;0;1;0;0;Mid-High
2;1;1;11;2;22;52,37448733;4,886447048;7;56;1,024108335;0;1;0;0;Low
4;1;3;5;4;5;52,35440196;4,894868735;3;5;2,771803098;0;1;0;0;Mid-High
2;1;1;1;1;1;52,3695335;4,904901358;2;13;1,135337459;0;1;0;0;Low
2;1;1;1;2;1;52,37753101;4,88611708;4;15;0,921760358;0;0;1;0;Low
2;2;1;1;1;1;52,36320717;4,864240208;1;0;2,9756762;0;0;1;0;Low
2;1;1;1;1;1;52,36036058;4,855831958;1;5;3,62331218;0;1;0;0;Low
5;1;3;3;4;3;52,36909289;4,863064078;2;1;2,710324887;0;1;0;0;Mid-High
2;1;1;1;1;1;52,35607149;4,926152186;2;6;3,144316879;0;1;0;0;Low
2;0,5;1;7;1;7;52,3775026;4,873583791;3;1;1,763350406;0;0;1;0;Low
2;2;1;2;1;2;52,3733395;4,92173466;2;61;1,646776756;1;0;1;0;Low
2;1;0;1;1;1;52,38378871;4,87043856;2;4;2,031924459;0;1;0;0;Low
2;1;1;1;1;1;52,37707605;4,856180197;4;3;2,94334402;0;1;0;0;Low
2;1,5;1;1;1;1;52,36415023;4,940854122;3;2;3,269734171;0;1;0;0;Low
2;1;1;1;1;1;52,37635895;4,85787224;2;5;2,836691762;0;1;0;0;Low
2;1;1;1;1;1;52,35962533;4,917198198;1;0;2,485872124;0;0;1;0;Low
2;1;1;1;1;1;52,37612952;4,884059275;2;107;1,096793304;0;0;1;0;Low
3;1;1;1;1;1;52,31860983;4,950093796;1;25;7,559431951;0;0;1;0;Low
2;1;1;1;1;1;52,39310699;4,960169249;1;3;4,400264473;0;0;1;0;Low
2;1;2;1;1;1;52,36196812;4,856150928;1;0;3,504980141;0;1;0;0;Low
4;1;2;1;2;1;52,35578264;4,918068976;3;4;2,89217397;0;1;0;0;Low
4;1;2;1;2;1;52,3763211;4,858893654;2;1;2,768322497;1;1;0;0;Low
4;1;1;4;2;4;52,32531029;4,946155997;2;0;6,775388301;1;0;1;0;Mid-High
2;1;1;1;1;1;52,34038488;4,907326771;2;5;4,345277539;0;1;0;0;Low
2;1;1;1;2;1;52,35284651;4,915517566;2;35;3,124201521;0;0;1;0;Low
1;1;1;1;1;1;52,36184214;4,926225289;3;64;2,649678751;0;0;1;0;Low
4;0,5;1;1;2;1;52,33253079;4,901932253;2;7;5,1876773;0;0;1;0;Low
2;1,5;2;1;1;1;52,36085333;4,926223805;3;17;2,730606279;0;1;0;0;Low
2;1;1;1;1;1;52,36695986;4,902812518;2;132;1,378193033;0;0;1;0;Low
2;1;1;1;1;1;52,34712711;4,846658078;2;20;5,051588135;0;1;0;0;Low
4;1;1;1;2;1;52,38950895;4,881572145;2;1;1,668058789;0;1;0;0;Low
4;1,5;2;1;2;1;52,35702708;4,898211065;2;21;2,46413663;0;1;0;0;Mid-High
6;1;4;1;1;1;52,35111711;4,846325187;1;0;4,766212327;0;1;0;0;Mid-High
2;1;1;31;1;34;52,35606593;4,899471514;2;8;2,569555393;1;1;0;0;Low
2;1;1;15;1;16;52,37763414;4,882785872;2;0;1,142276048;1;1;0;0;Low
4;1;1;1;2;1;52,36894365;4,941922146;25;4;3,099380257;0;1;0;0;Low
2;1;1;1;1;1;52,35562356;4,897327479;3;30;2,622599179;1;1;0;0;Low
3;1;2;1;2;1;52,38191563;4,854071277;3;4;3,091738716;0;1;0;0;Low
4;2,5;2;8;1;10;52,37370336;4,904050607;7;0;0,685430183;0;1;0;0;Mid-High
4;1;3;1;1;2;52,37394884;4,948258731;2;16;3,363192756;0;1;0;0;Mid-High
2;1;1;1;1;1;52,37585976;4,893092078;1;12;0,567259668;0;0;1;0;Low
2;1,5;1;1;2;1;52,37914263;4,884930466;3;391;0,983649378;0;0;1;0;Low
2;1;2;1;1;1;52,39771821;4,942374125;2;0;3,566772704;0;1;0;0;Low
